token,frecuencia
2-2-2-2-2-2,37436
4-4-4-4-4-4,17620
3-3-3-3-3-3,12161
0-0-0-0-0-0,4704
1-1-1-1-1-1,1501
1-2-2-2-2-2,1236
2-2-2-2-2-3,930
1-1-2-2-2-2,803
2-2-2-2-3-2,586
2-3-3-3-3-3,568
1-1-1-2-2-2,554
2-4-4-4-4-4,535
3-2-2-2-2-2,532
2-2-4-4-4-4,484
2-2-2-3-2-2,481
2-2-2-4-4-4,464
2-2-2-2-3-3,436
2-2-2-2-4-4,423
2-2-2-2-2-4,420
2-2-2-2-2-1,413
1-1-1-1-2-2,409
2-2-3-2-2-2,408
2-2-3-3-3-3,396
3-3-3-3-3-2,373
2-3-2-2-2-2,372
5-5-5-5-5-5,368
2-2-2-3-3-3,358
2-2-2-2-2-0,337
1-1-1-1-1-2,306
0-0-0-0-0-1,300
0-1-1-1-1-1,298
0-0-0-0-1-1,295
0-0-0-1-1-1,291
0-0-1-1-1-1,287
3-3-2-2-2-2,280
3-3-3-3-2-2,279
3-3-3-2-2-2,254
3-2-3-3-3-3,251
2-1-2-2-2-2,251
4-4-4-4-4-2,246
2-2-2-2-2-5,243
2-2-2-2-1-1,235
4-4-4-4-4-1,232
4-4-4-4-4-0,231
2-2-1-2-2-2,227
4-4-4-4-2-2,221
4-2-2-2-2-2,219
1-4-4-4-4-4,217
2-2-2-1-2-2,212
4-4-4-2-2-2,211
4-4-2-2-2-2,207
0-1-2-2-2-2,195
2-2-2-2-1-2,195
2-2-2-2-0-0,193
3-3-2-3-3-3,186
5-2-2-2-2-2,184
2-2-2-3-2-3,176
3-3-3-2-3-3,154
4-4-4-4-1-1,141
2-2-2-3-3-2,138
0-2-2-2-2-2,138
3-3-3-3-2-3,138
2-2-3-2-2-3,136
0-1-1-2-2-2,135
2-2-2-2-0-1,133
2-2-2-1-1-1,132
2-2-2-0-0-0,131
4-4-4-4-4-5,124
2-1-1-2-2-2,121
3-2-2-3-3-3,121
1-0-0-0-0-0,120
2-2-1-1-2-2,118
2-2-2-1-1-2,116
1-1-4-4-4-4,115
2-3-2-3-3-3,115
2-5-2-2-2-2,114
4-4-4-4-0-0,112
2-2-2-5-2-2,112
2-2-5-2-2-2,111
2-2-3-2-3-3,111
2-2-3-2-3-2,109
2-2-3-3-2-2,104
2-2-0-0-0-0,104
2-2-2-2-5-2,104
0-1-1-1-2-2,102
3-2-2-2-2-3,98
2-3-3-2-2-2,96
2-3-2-2-2-3,95
4-4-4-4-0-1,93
3-3-3-3-3-5,92
2-3-2-2-3-2,89
4-4-4-1-1-1,89
0-0-1-2-2-2,88
5-0-0-0-0-0,88
2-3-2-2-3-3,88
2-0-0-0-0-0,87
4-4-1-4-4-4,87
1-1-0-0-0-0,87
4-4-4-4-1-4,87
4-4-4-1-4-4,86
4-1-4-4-4-4,86
1-1-1-1-1-0,85
3-3-2-2-3-3,83
3-2-3-2-2-2,83
0-1-1-1-1-2,82
2-2-1-1-1-1,82
0-0-1-1-2-2,81
2-2-3-3-3-2,81
2-3-2-3-2-2,80
2-2-3-3-2-3,79
2-2-2-0-1-1,79
3-2-2-2-3-2,77
3-3-3-3-3-0,77
1-1-1-0-0-0,75
1-0-1-1-1-1,75
4-4-4-0-0-0,75
2-3-3-3-3-2,74
3-2-2-3-2-2,74
2-3-3-2-3-3,72
1-1-1-1-0-0,70
2-2-2-0-0-1,70
3-3-3-2-2-3,70
2-2-2-2-5-5,69
1-1-0-1-1-1,69
3-2-2-2-3-3,68
2-1-1-1-1-1,67
2-3-3-3-2-3,65
4-4-1-1-1-1,65
0-0-1-1-1-2,65
2-0-1-2-2-2,64
1-1-1-4-4-4,63
1-1-1-0-1-1,62
4-4-4-0-1-1,62
0-0-2-2-2-2,61
2-1-1-1-2-2,61
2-3-3-3-2-2,61
2-2-0-1-2-2,61
5-5-0-0-0-0,60
3-2-3-2-3-3,60
4-4-4-4-5-4,60
4-4-4-5-4-4,59
4-4-5-4-4-4,59
2-2-2-0-1-2,58
5-4-4-4-4-4,57
2-2-1-1-1-2,56
0-0-0-0-1-0,56
0-0-0-1-0-0,56
4-5-4-4-4-4,56
2-3-2-3-2-3,55
1-1-1-1-0-1,55
0-0-0-1-1-2,55
3-3-2-2-2-3,55
4-1-1-1-1-1,54
3-3-3-3-0-0,53
5-1-2-2-2-2,53
2-3-2-3-3-2,52
0-0-0-1-2-2,52
3-2-2-3-2-3,52
2-2-0-1-1-1,51
3-3-2-3-2-2,51
2-3-3-2-2-3,51
0-4-4-4-4-4,50
3-2-3-3-2-2,50
2-0-2-2-2-2,49
0-0-1-0-0-0,49
4-4-0-0-0-0,49
3-2-2-3-3-2,48
0-0-0-0-0-5,48
0-1-0-0-0-0,47
3-3-3-2-3-2,47
3-2-3-3-3-2,47
2-2-2-2-5-1,46
1-1-1-1-4-4,45
0-5-0-0-0-0,45
3-2-3-2-2-3,44
2-2-0-2-2-2,44
5-5-2-2-2-2,44
0-0-0-1-1-0,44
2-2-0-0-1-1,44
2-3-3-2-3-2,41
2-2-2-0-2-2,41
3-3-3-0-0-0,41
1-0-0-0-1-1,40
2-2-2-2-5-0,40
0-1-1-1-1-0,39
3-3-2-2-3-2,39
2-2-2-2-0-2,39
1-2-1-2-2-2,38
3-3-2-3-3-2,38
1-0-0-1-1-1,37
4-4-0-1-1-1,37
0-0-5-0-0-0,37
3-2-3-3-2-3,37
3-3-2-3-2-3,36
1-2-2-2-2-1,36
2-2-0-0-0-1,36
0-0-0-0-1-2,36
0-0-0-2-2-2,36
4-1-1-4-4-4,36
4-0-0-0-0-0,36
0-0-0-0-5-0,35
4-4-1-1-4-4,35
4-4-4-0-4-4,35
0-1-1-1-0-0,35
1-1-1-1-1-4,35
5-5-5-0-0-0,34
1-1-0-0-1-1,34
1-2-4-4-4-4,34
0-0-1-1-1-0,34
4-4-4-4-5-1,34
4-4-0-4-4-4,34
2-1-1-1-1-2,33
0-0-1-1-0-0,33
5-5-5-5-0-0,33
1-1-1-0-0-1,33
4-4-4-0-0-1,33
4-4-4-4-0-4,33
0-0-0-5-0-0,33
1-2-2-2-4-4,32
4-4-4-1-1-4,32
4-0-4-4-4-4,32
5-5-5-5-5-0,31
0-0-0-0-5-5,31
0-1-1-0-0-0,31
3-5-2-2-2-2,31
2-2-2-5-1-2,30
1-1-0-0-0-1,30
3-3-3-3-5-2,30
1-1-1-1-2-1,30
3-3-0-0-0-0,29
3-2-3-2-3-2,29
1-0-1-2-2-2,29
0-1-4-4-4-4,29
1-1-2-2-2-1,29
2-0-0-1-2-2,28
3-3-3-3-3-1,28
3-3-3-3-5-5,28
2-5-1-2-2-2,28
4-0-1-1-1-1,28
5-1-1-2-2-2,28
0-0-1-0-0-1,28
1-0-0-0-0-1,27
2-0-1-1-2-2,27
4-4-4-4-2-4,27
1-1-1-2-2-1,27
2-2-0-1-1-2,26
1-1-1-2-1-1,26
0-1-0-1-1-1,26
4-4-0-0-1-1,26
0-0-1-1-0-1,26
2-2-5-1-2-2,26
2-0-1-1-1-2,25
2-0-0-0-1-1,25
1-0-1-1-2-2,25
2-0-1-1-1-1,25
4-4-4-2-4-4,25
4-2-4-4-4-4,25
4-4-4-5-1-1,25
3-3-3-5-2-2,25
1-1-2-1-1-1,24
2-0-0-1-1-1,24
1-1-2-1-2-2,24
4-4-4-1-1-2,24
2-2-0-0-1-2,24
3-3-5-2-2-2,24
0-0-5-5-0-0,23
4-4-0-0-0-1,23
0-1-1-0-1-1,23
4-4-2-4-4-4,23
0-5-5-0-0-0,23
3-3-3-3-5-0,23
3-3-3-5-0-0,23
1-2-2-2-2-0,23
0-0-1-0-1-1,23
3-0-0-0-0-0,23
5-0-0-0-0-1,23
4-1-1-2-2-2,22
2-0-0-0-0-1,22
0-0-0-1-0-1,22
1-1-2-2-1-1,22
4-4-1-1-2-2,22
1-1-2-2-2-4,21
1-2-2-2-1-1,21
2-2-2-2-4-2,21
2-2-2-5-0-0,21
4-4-4-4-5-0,21
0-0-0-5-5-0,21
1-2-2-2-1-2,20
0-0-0-0-2-2,20
2-5-5-2-2-2,20
2-2-2-5-5-0,20
2-2-2-5-5-5,20
1-2-2-4-4-4,20
0-5-5-5-5-5,20
2-2-2-2-1-0,19
1-2-2-1-2-2,19
4-0-0-0-1-1,19
2-2-5-5-2-2,19
5-0-0-1-1-1,19
5-5-5-2-2-2,19
2-2-2-5-5-2,19
1-1-1-1-1-5,19
2-4-2-2-2-2,19
2-2-2-4-2-2,18
0-1-1-4-4-4,18
1-1-1-2-1-2,18
2-0-0-1-1-2,18
0-1-0-0-1-1,18
4-2-2-4-4-4,18
1-2-2-1-1-1,18
4-4-4-0-1-2,18
5-1-1-1-1-1,18
0-1-1-1-0-1,17
1-1-2-4-4-4,17
0-0-0-5-5-5,17
4-0-0-1-1-1,17
2-2-4-2-2-2,17
4-0-1-4-4-4,17
1-2-1-1-1-1,17
2-2-5-5-0-0,16
4-4-5-1-1-1,16
4-4-4-2-2-4,16
0-1-1-0-0-1,16
4-4-1-1-1-2,16
0-0-5-5-5-5,16
0-0-4-4-4-4,16
3-3-3-3-1-1,16
1-0-0-1-0-0,16
4-4-4-0-1-4,15
2-2-2-5-1-1,15
4-4-2-2-4-4,15
1-1-0-1-1-2,15
4-1-1-1-2-2,15
2-2-1-0-0-0,15
4-4-4-4-1-2,15
2-2-4-4-4-2,15
1-2-2-2-2-4,15
4-4-0-1-4-4,15
1-1-2-2-4-4,15
5-0-0-0-1-1,15
5-0-1-1-1-1,14
2-2-2-1-0-0,14
5-0-0-0-0-5,14
0-1-0-0-0-1,14
1-0-1-1-1-2,14
1-1-2-2-1-2,14
3-3-3-3-0-1,14
5-0-2-2-2-2,14
2-2-5-0-0-0,14
1-2-1-1-2-2,13
2-0-0-2-2-2,13
2-2-2-5-0-2,13
1-0-1-0-1-1,13
2-2-2-0-0-2,13
2-2-2-5-5-1,13
2-1-2-2-2-1,13
1-2-2-1-1-2,13
4-4-4-1-2-2,13
4-4-0-1-1-2,13
4-4-0-1-2-2,13
4-2-2-2-4-4,13
0-1-0-1-2-2,13
1-1-0-1-2-2,13
1-4-4-4-4-1,12
2-2-5-1-1-2,12
4-0-1-1-2-2,12
1-1-1-2-2-0,12
0-0-0-0-0-2,12
5-1-1-1-2-2,12
4-4-4-5-0-1,12
4-4-2-2-2-4,12
3-1-2-2-2-2,12
1-2-2-2-0-1,12
2-2-0-0-2-2,12
1-2-1-1-1-2,12
4-4-0-1-1-4,12
4-4-1-2-2-2,12
2-4-4-4-2-2,12
2-2-0-0-1-0,12
4-0-1-1-4-4,11
3-3-3-3-2-0,11
0-1-1-1-2-1,11
3-3-1-2-2-2,11
1-1-2-1-1-2,11
4-0-1-2-2-2,11
4-5-1-1-1-1,11
1-0-2-2-2-2,11
2-5-0-2-2-2,11
4-4-1-1-1-4,11
3-2-2-4-4-4,11
2-5-1-1-2-2,11
5-1-1-1-1-2,11
5-0-0-2-2-2,11
1-0-0-1-1-0,11
4-1-2-2-2-2,11
3-3-3-1-1-1,11
4-0-0-0-0-1,11
1-1-2-2-2-0,11
2-2-5-0-2-2,11
2-2-1-1-2-1,10
2-5-5-0-0-0,10
4-1-1-1-4-4,10
5-5-5-5-2-2,10
0-1-2-1-2-2,10
2-1-0-0-0-0,10
1-1-1-1-5-5,10
1-1-0-0-1-0,10
1-1-0-1-0-1,10
4-4-4-0-2-2,10
0-1-0-0-1-0,10
1-1-2-2-0-0,10
2-2-5-5-5-5,10
4-1-1-1-1-2,10
0-1-0-1-1-2,10
2-2-1-1-0-0,10
3-3-2-2-4-4,10
1-2-2-2-0-0,10
3-3-3-3-1-2,10
3-3-1-1-1-1,10
0-0-1-0-1-2,10
3-3-5-0-0-0,10
4-4-4-4-0-2,10
3-3-3-0-0-1,10
3-3-3-5-5-2,10
1-1-1-0-1-0,9
3-3-0-0-0-1,9
3-3-3-1-2-2,9
3-3-3-5-5-0,9
3-2-2-2-0-0,9
1-0-1-1-1-0,9
2-2-2-2-3-5,9
5-0-1-2-2-2,9
2-5-5-5-5-5,9
3-5-5-2-2-2,9
3-3-3-3-5-3,9
4-0-0-4-4-4,9
2-3-2-2-2-1,9
0-1-1-1-4-4,9
3-2-4-4-4-4,9
1-1-2-2-0-1,9
2-2-1-2-2-1,9
2-3-5-2-2-2,9
0-0-5-5-5-0,9
4-4-4-5-0-0,9
5-0-5-5-5-5,9
2-0-0-1-0-1,9
5-5-0-0-1-1,9
2-4-4-2-2-2,9
3-3-2-4-4-4,9
2-2-2-1-1-0,9
0-0-1-0-1-0,9
2-5-5-5-2-2,9
2-1-1-0-0-0,9
5-5-0-0-0-1,9
1-0-0-1-2-2,8
3-2-1-2-2-2,8
3-3-5-5-2-2,8
2-2-2-2-3-0,8
0-1-2-4-4-4,8
1-2-2-0-0-0,8
2-1-0-0-0-1,8
3-3-3-5-5-5,8
2-0-0-0-2-2,8
3-5-0-0-0-0,8
3-2-2-2-4-4,8
4-0-2-2-2-2,8
1-2-2-0-1-2,8
3-2-2-2-2-1,8
1-2-2-2-2-5,8
2-2-2-0-1-0,8
2-2-2-4-4-2,8
2-2-2-1-2-1,8
0-1-1-2-2-1,8
3-3-3-3-0-2,8
3-1-1-1-1-1,8
0-1-0-1-0-0,8
2-4-4-4-4-0,8
3-3-3-0-1-1,8
4-4-5-0-1-1,8
1-0-0-0-1-0,8
2-3-2-2-2-4,8
2-2-1-1-1-0,8
5-0-5-0-0-0,8
3-3-3-3-2-1,8
5-5-1-1-1-1,8
4-4-5-1-1-2,8
2-2-4-4-4-1,8
5-2-2-2-2-3,8
4-4-0-2-2-2,8
0-5-5-5-0-0,8
2-2-5-5-5-2,8
0-0-1-2-2-0,8
3-2-2-2-2-4,8
3-2-2-2-1-2,8
5-0-0-5-5-5,8
4-4-4-4-5-5,8
1-1-1-5-5-5,8
4-4-4-5-1-2,8
3-3-3-2-4-4,8
1-1-1-0-1-2,7
0-0-1-4-4-4,7
4-4-4-0-0-4,7
3-3-3-3-2-4,7
2-1-1-4-4-4,7
0-1-1-0-1-2,7
2-2-3-2-3-5,7
4-4-0-0-4-4,7
5-5-5-5-0-5,7
3-3-3-2-2-1,7
4-4-4-4-1-0,7
2-2-4-4-2-2,7
2-2-2-1-0-1,7
1-1-1-2-2-4,7
1-1-0-2-2-2,7
5-5-0-1-1-1,7
1-0-1-1-0-0,7
5-0-1-1-1-2,7
5-5-0-0-5-5,7
3-0-0-0-0-1,7
2-2-2-4-2-4,7
4-4-5-0-0-0,7
2-1-1-1-0-1,7
4-4-4-4-5-2,7
1-0-0-1-1-2,7
1-1-1-1-5-1,7
5-5-1-2-2-2,7
4-4-5-1-2-2,7
1-1-1-5-1-1,7
3-3-2-2-1-1,7
2-2-0-0-0-2,7
1-4-4-4-4-0,7
2-0-0-0-1-2,7
2-4-4-4-4-2,7
5-5-5-0-0-5,7
3-4-4-4-4-4,7
2-2-2-3-0-0,7
0-1-2-2-0-1,7
0-5-0-0-1-1,7
4-2-2-2-2-4,7
3-2-2-2-2-5,7
5-0-0-0-5-5,7
3-0-1-2-2-2,7
1-2-2-2-2-3,7
5-5-0-0-0-5,7
4-5-1-2-2-2,7
3-0-0-1-2-2,7
2-0-1-1-1-0,7
2-3-2-2-2-0,7
5-5-1-1-2-2,7
5-0-0-5-0-0,7
2-1-1-1-2-1,7
2-2-0-1-1-0,7
3-3-3-0-0-2,6
5-5-5-5-5-2,6
1-1-1-5-0-0,6
3-3-5-5-5-5,6
1-1-1-1-5-0,6
3-5-1-2-2-2,6
2-2-2-2-1-5,6
0-0-1-1-1-4,6
1-0-0-1-0-1,6
2-2-2-3-2-0,6
1-1-5-5-5-5,6
1-0-1-0-0-0,6
5-5-0-5-0-0,6
2-2-5-5-1-2,6
2-2-5-5-1-1,6
2-2-2-5-0-1,6
5-4-5-5-5-5,6
1-1-1-2-1-0,6
0-0-0-4-4-4,6
0-1-2-2-2-0,6
1-1-1-2-4-4,6
3-3-3-0-2-2,6
2-2-2-3-3-0,6
3-3-0-1-2-2,6
3-3-5-0-0-2,6
5-0-1-1-2-2,6
1-1-5-5-0-0,6
2-2-2-3-5-2,6
3-3-3-2-0-1,6
3-3-3-0-1-2,6
3-0-1-1-2-2,6
2-2-2-1-1-4,6
4-4-2-4-4-2,6
5-0-0-1-2-2,6
5-2-2-2-2-5,6
5-5-4-4-4-4,6
2-1-2-1-2-2,6
2-5-0-0-0-0,6
5-0-0-0-1-2,6
1-4-4-1-4-4,6
1-1-0-0-1-2,6
2-1-1-2-2-1,6
2-2-0-1-0-1,6
2-1-4-4-4-4,6
4-5-0-1-1-1,6
4-4-5-2-2-2,6
3-3-0-0-1-1,6
4-5-2-2-2-2,6
3-3-0-1-1-2,6
1-5-5-5-5-5,6
2-0-0-0-1-0,6
0-1-1-1-1-5,6
4-4-4-1-1-0,6
0-1-0-1-1-0,6
5-0-0-0-2-2,6
3-1-1-2-2-2,6
2-1-2-2-1-1,6
4-4-4-5-2-2,6
4-5-5-5-5-5,6
2-2-4-4-4-0,6
2-1-2-4-4-4,6
5-5-5-0-0-1,6
2-2-2-2-3-1,6
2-1-1-2-1-1,6
1-4-4-4-1-4,6
5-5-5-0-1-1,5
3-2-2-1-2-2,5
2-2-2-2-1-4,5
5-5-5-0-5-5,5
1-5-5-0-0-0,5
3-3-3-2-2-4,5
5-2-2-2-5-2,5
2-2-3-2-2-1,5
1-2-2-0-0-1,5
0-5-0-5-0-0,5
2-3-3-2-2-4,5
0-1-0-0-5-0,5
1-0-0-2-2-2,5
5-5-5-5-5-1,5
2-3-3-2-0-0,5
3-3-2-2-2-1,5
2-0-5-0-0-0,5
2-2-1-2-1-2,5
3-3-5-5-0-0,5
3-2-1-1-1-1,5
2-1-2-2-1-2,5
0-0-1-1-4-4,5
1-2-0-2-2-2,5
0-0-0-1-1-5,5
2-2-2-0-2-0,5
3-3-3-2-0-0,5
1-1-0-1-1-0,5
2-2-5-5-0-1,5
0-2-2-1-2-2,5
0-0-1-1-2-1,5
1-1-1-1-2-4,5
0-1-1-2-1-1,5
0-0-5-0-0-1,5
2-2-5-0-0-5,5
3-3-2-0-0-0,5
3-0-2-2-2-2,5
2-2-2-4-4-1,5
0-1-1-2-2-0,5
3-2-0-0-0-0,5
0-0-0-0-1-5,5
0-1-2-1-1-1,5
2-0-1-4-4-4,5
1-2-0-1-1-1,5
1-1-4-4-4-1,5
4-0-1-1-1-2,5
2-2-5-1-1-1,5
5-5-5-5-5-4,5
2-2-2-2-4-0,5
4-4-1-4-4-1,5
4-2-4-4-2-2,5
2-1-2-2-2-0,5
4-4-4-1-0-1,5
3-3-1-1-2-2,5
5-5-0-0-5-0,5
1-5-1-1-1-1,5
0-1-1-2-1-2,5
2-0-0-1-1-0,5
3-3-3-3-5-1,5
2-2-1-1-2-0,5
3-3-0-0-2-2,5
2-2-5-2-2-5,5
1-2-2-0-1-1,5
0-2-2-2-1-2,5
3-0-0-2-2-2,5
3-3-5-0-0-1,5
3-1-1-1-1-2,5
2-2-1-2-4-4,5
4-4-4-2-4-2,5
3-2-2-2-1-1,5
2-2-3-3-2-0,5
1-1-5-0-1-1,5
0-5-5-5-5-0,5
2-3-3-3-3-0,5
5-2-2-5-2-2,5
5-5-5-0-5-0,5
3-3-2-1-2-2,5
2-5-5-1-2-2,5
4-0-0-1-4-4,5
1-1-5-1-1-1,5
2-1-0-1-2-2,5
0-0-0-5-1-1,5
2-2-4-2-4-4,5
2-2-3-5-2-2,5
1-0-0-5-0-0,5
1-2-0-5-0-0,5
3-3-2-0-0-1,5
1-1-1-5-5-0,5
4-4-4-1-4-1,5
2-2-5-0-1-1,5
0-1-2-2-2-4,5
3-2-2-1-1-2,5
0-5-0-5-5-5,5
2-5-0-0-0-1,5
5-5-0-5-5-5,5
4-5-1-1-2-2,5
3-3-0-2-2-2,5
1-1-5-0-0-0,5
2-5-1-1-1-1,5
2-2-1-1-4-4,5
2-5-2-5-2-2,4
2-0-1-1-0-0,4
0-0-1-2-2-1,4
4-4-0-1-1-0,4
2-4-4-4-4-1,4
2-2-4-2-2-4,4
2-2-3-3-0-0,4
3-5-5-5-5-5,4
3-3-3-3-2-5,4
2-2-5-1-2-5,4
2-1-1-2-2-0,4
3-3-3-5-2-3,4
3-3-3-5-3-2,4
3-2-2-0-0-0,4
2-2-1-0-1-2,4
1-0-4-4-4-4,4
